,spam,text,crowd,spanish,language,english
0,0,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...
",0,"Vaya hasta Jurong Point, loco ... disponible solo en Bugis n Great World La e Buffet ... Cine tiene Amore Wat ...
",en,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...
"
1,0,"Ok lar... Joking wif u oni...
",0,"Ok lar ... bromeando wif u oni ...
",en,"Ok lar... Joking wif u oni...
"
2,1,"Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's
",0,"Entrada gratuita en 2 una compensación de wkly para ganar la Copa FA final TKTS 21 de mayo de 2005. Texto FA a 87121 para recibir la pregunta de entrada (tasa de std txt) aplicar los t&c 08452810075Over18's
",en,"Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's
"
3,0,"U dun say so early hor... U c already then say...
",0,"No digo tan temprano hor ... ya c ya digo ...
",en,"U dun say so early hor... U c already then say...
"
4,0,"Nah I don't think he goes to usf, he lives around here though
",0,"No, no creo que vaya a la USF, aunque vive por aquí
",en,"Nah I don't think he goes to usf, he lives around here though
"
5,1,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv
",0,"Freemsg Hola, cariño, ¡ya han pasado 3 semanas y no hay palabra! ¿Me gustaría un poco de divertido por eso? TB OK! XXX STD CHGS para enviar, £ 1.50 a RCV
",en,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv
"
6,0,"Even my brother is not like to speak with me. They treat me like aids patent.
",0,"Incluso mi hermano no es como hablar conmigo. Me tratan como una patente del SIDA.
",en,"Even my brother is not like to speak with me. They treat me like aids patent.
"
7,0,"As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
",0,"Según su solicitud, 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' se ha establecido como su callo para todas las personas que llaman. Presione *9 para copiar a sus amigos Callertune
",en,"As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
"
8,1,"WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
",0,"¡¡GANADOR!! ¡Como cliente valioso de la red, ha sido seleccionado para recibir una recompensa de premios de £ 900! Para reclamar llame al 09061701461. Código de reclamación KL341. Válido solo 12 horas.
",en,"WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
"
9,1,"Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030
",0,"¿Tuvo su móvil 11 meses o más? ¡Tienes derecho a actualizar los últimos móviles de color con cámara de forma gratuita! Llame a la actualización móvil CO gratis al 08002986030
",en,"Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030
"
10,0,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.
",0,"Voy a estar en casa pronto y ya no quiero hablar de estas cosas esta noche, K? He llorado lo suficiente hoy.
",en,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.
"
11,1,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info
",0,"¡Seis oportunidades de ganar efectivo! De 100 a 20,000 libras txt> CSH11 y envíe a 87575. Costo 150p/día, 6 días, 16+ Tsandcs aplicar respuesta hl 4 información
",en,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info
"
12,1,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18
",0,"¡URGENTE! ¡Has ganado una membresía gratuita de 1 semana en nuestro premio premio de £ 100,000! Txt La palabra: afirmar no: 81010 T&C www.dbuk.net Lccltd POBOX 4403LDNW1A7RW18
",en,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18
"
13,0,"I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.
",0,"He estado buscando las palabras correctas para agradecerle por este respiro. Prometo que no daré por sentado su ayuda y cumpliré mi promesa. Has sido maravilloso y una bendición en todo momento.
",en,"I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.
"
14,0,"I HAVE A DATE ON SUNDAY WITH WILL!!
",0,"¡Tengo una cita el domingo con voluntad!
",en,"I HAVE A DATE ON SUNDAY WITH WILL!!
"
15,1,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL
",0,"XXXMOBILEMOVIECLUB: Para usar su crédito, haga clic en el enlace WAP en el siguiente mensaje TXT o haga clic aquí >> http: // wap. xxxmobilemovieclub.com?n=qjkgighjjgcbl
",en,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL
"
16,0,"Oh k...i'm watching here:)
",0,"Oh K ... Estoy viendo aquí :)
",en,"Oh k...i'm watching here:)
"
17,0,"Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.
",0,"Eh, recuerdas cómo 2 deletrean su nombre ... sí, lo hice. Él V Naughty hace hasta que me mojo.
",en,"Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.
"
18,0,"Fine if thats the way u feel. Thats the way its gota b
",0,"Bien si así es como te sientes. Esa es la forma en que gota b
",en,"Fine if thats the way u feel. Thats the way its gota b
"
